match_id,season,match_date_utc,home_team,away_team,home_last5_wins,home_last5_draws,home_last5_losses,away_last5_wins,away_last5_draws,away_last5_losses,home_avg_goals,home_avg_goals_conceded,away_avg_goals,away_avg_goals_conceded,home_avg_goals_last5,home_avg_conceded_last5,away_avg_goals_last5,away_avg_conceded_last5,home_form_points,away_form_points,home_elo,away_elo,elo_diff,home_rank,away_rank,home_win_streak,home_draw_streak,home_loss_streak,home_unbeaten_streak,away_win_streak,away_draw_streak,away_loss_streak,away_unbeaten_streak,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_total,home_home_win_rate,home_home_avg_goals,away_away_win_rate,away_away_avg_goals,home_rest_days,away_rest_days,home_matches_played,away_matches_played,home_goal_diff,away_goal_diff,result
4E3iyfho,2002-2003,2002-08-18 20:30:00+00:00,U. A. Maracaibo,Monagas,0,1,1,1,0,1,1.0,1.5,1.5,2.0,1.0,1.5,1.5,2.0,1,3,1484.38,1491.04,-6.66,8,7,0,1,0,1,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,7,7,2,2,-1,-1,H
SltOhMNI,2002-2003,2002-08-18 20:30:00+00:00,Mineros,Carabobo,0,1,1,0,1,1,1.0,2.5,1.5,2.0,1.0,2.5,1.5,2.0,1,1,1493.63,1484.3,9.33,7,8,0,1,0,1,0,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,7,7,2,2,-3,-1,D
WMnFfrg6,2002-2003,2002-08-18 20:30:00+00:00,Dep. Táchira,Nacional Tachira,0,2,0,2,0,0,1.5,1.5,2.0,1.0,1.5,1.5,2.0,1.0,2,6,1499.7,1531.62,-31.92,4,2,0,2,0,2,2,0,0,2,0,0,0,0,0.0,1.0,1.0,2.0,7,7,2,2,0,2,H
pQjJg28C,2002-2003,2002-08-18 20:30:00+00:00,Trujillanos,Miranda,1,0,1,0,1,1,1.5,1.5,1.5,2.0,1.5,1.5,1.5,2.0,3,1,1500.38,1483.62,16.76,4,9,0,0,1,0,0,1,0,1,0,0,0,0,1.0,2.0,0.0,2.0,7,7,2,2,0,-1,A
x0mBeOw0,2002-2003,2002-08-18 20:30:00+00:00,Caracas,Estudiantes M.,2,0,0,0,2,0,3.0,0.5,1.0,1.0,3.0,0.5,1.0,1.0,6,2,1532.0,1499.33,32.67,1,5,2,0,0,2,0,2,0,2,0,0,0,0,1.0,4.0,0.0,1.0,7,7,2,2,5,0,A
46JR3nWJ,2002-2003,2002-08-25 20:30:00+00:00,Carabobo,Estudiantes M.,0,2,1,1,2,0,1.0,1.3333,1.6667,1.3333,1.0,1.3333,1.6667,1.3333,2,5,1489.18,1521.16,-31.98,7,1,0,2,0,2,1,0,0,3,0,0,0,0,0.0,2.0,0.5,2.0,7,7,3,3,-1,1,D
Eu91cp9m,2002-2003,2002-08-25 20:30:00+00:00,Nacional Tachira,Mineros,2,0,1,0,2,1,1.3333,1.3333,0.6667,1.6667,1.3333,1.3333,0.6667,1.6667,6,2,1518.72,1488.76,29.96,2,7,0,0,1,0,0,2,0,2,0,0,0,0,1.0,2.0,0.0,1.0,7,7,3,3,0,-3,H
I9NV26oQ,2002-2003,2002-08-25 20:30:00+00:00,Miranda,Dep. Táchira,1,1,1,1,2,0,1.6667,1.6667,1.6667,1.0,1.6667,1.6667,1.6667,1.0,4,5,1504.81,1512.6,-7.8,5,3,1,0,0,2,1,0,0,3,0,0,0,0,0.0,1.0,0.0,2.0,7,7,3,3,0,2,D
fiQbd4Og,2002-2003,2002-08-25 20:30:00+00:00,U. A. Maracaibo,Caracas,1,1,1,2,0,1,1.0,1.0,2.6667,1.3333,1.0,1.0,2.6667,1.3333,4,6,1496.18,1510.17,-13.99,6,4,1,0,0,2,0,0,1,0,0,0,0,0,0.5,1.0,1.0,2.0,7,7,3,3,0,4,D
zkAcbQgs,2002-2003,2002-08-25 20:30:00+00:00,Monagas,Trujillanos,1,0,2,1,0,2,1.0,1.6667,1.3333,1.6667,1.0,1.6667,1.3333,1.6667,3,3,1479.23,1479.19,0.04,8,9,0,0,2,0,0,0,2,0,0,0,0,0,0.5,1.5,0.0,1.0,7,7,3,3,-2,-1,H
CSEOs590,2002-2003,2002-09-01 20:30:00+00:00,Dep. Táchira,Monagas,1,3,0,2,0,2,1.5,1.0,1.75,1.5,1.5,1.0,1.75,1.5,6,6,1516.75,1490.75,26.0,3,7,0,1,0,4,1,0,0,1,0,0,0,0,0.5,1.5,0.0,0.0,7,7,4,4,2,1,H
KhIWuqvD,2002-2003,2002-09-01 20:30:00+00:00,Estudiantes M.,Nacional Tachira,1,3,0,3,0,1,1.5,1.25,1.5,1.25,1.5,1.25,1.5,1.25,6,9,1524.25,1529.0,-4.75,3,1,0,1,0,4,1,0,0,1,0,0,0,0,0.0,1.0,0.5,1.0,7,7,4,4,1,1,H
U3PJroff,2002-2003,2002-09-01 20:30:00+00:00,Caracas,Carabobo,2,1,1,0,3,1,2.0,1.0,1.0,1.25,2.0,1.0,1.0,1.25,7,3,1514.05,1486.08,27.97,4,7,0,1,0,1,0,3,0,3,0,0,0,0,0.5,3.0,0.0,0.5,7,7,4,4,4,-1,H
bqHzu3gJ,2002-2003,2002-09-01 20:30:00+00:00,Mineros,Miranda,0,2,2,1,2,1,0.75,1.75,1.5,1.5,0.75,1.75,1.5,1.5,2,5,1478.48,1500.66,-22.18,8,5,0,0,1,0,0,1,0,3,0,0,0,0,0.0,0.0,0.5,2.0,7,7,4,4,-4,0,H
jJDStPO6,2002-2003,2002-09-01 20:30:00+00:00,Trujillanos,U. A. Maracaibo,1,0,3,1,2,1,1.25,2.25,0.75,0.75,1.25,2.25,0.75,0.75,3,5,1467.68,1492.3,-24.62,10,5,0,0,3,0,0,1,0,3,0,0,0,0,0.5,1.5,0.0,1.0,7,7,4,4,-4,0,H
2wFLpRvl,2002-2003,2002-09-15 20:30:00+00:00,U. A. Maracaibo,Dep. Táchira,1,2,2,2,3,0,0.8,1.4,1.4,0.8,0.8,1.4,1.4,0.8,5,9,1479.72,1527.19,-47.48,9,2,0,0,1,0,1,0,0,5,0,0,0,0,0.3333,0.6667,0.0,1.5,14,14,5,5,-3,3,D
67TkjmHQ,2002-2003,2002-09-15 20:30:00+00:00,Monagas,Mineros,2,0,3,1,2,2,1.4,1.4,1.2,1.6,1.4,1.4,1.2,1.6,6,5,1480.31,1490.95,-10.64,7,5,0,0,1,0,1,0,0,1,0,0,0,0,0.6667,2.3333,0.0,1.0,14,14,5,5,0,-2,A
8GFHo7Ps,2002-2003,2002-09-15 20:30:00+00:00,Nacional Tachira,Carabobo,3,0,2,0,3,2,1.2,1.2,0.8,1.2,1.2,1.2,0.8,1.2,9,3,1517.28,1475.72,41.55,4,9,0,0,1,0,0,0,1,0,0,0,0,0,1.0,2.0,0.0,0.3333,14,14,5,5,0,-2,D
Auzsh9nE,2002-2003,2002-09-15 20:30:00+00:00,Miranda,Estudiantes M.,1,2,2,2,3,0,1.4,1.8,1.4,1.0,1.4,1.8,1.4,1.0,5,9,1488.18,1535.97,-47.79,6,1,0,0,1,0,1,0,0,5,0,0,0,0,0.0,1.0,0.3333,1.6667,14,14,5,5,-2,2,H
lWYpiT1K,2002-2003,2002-09-15 20:30:00+00:00,Trujillanos,Caracas,2,0,3,3,1,1,1.8,2.0,1.8,0.8,1.8,2.0,1.8,0.8,6,10,1480.26,1524.41,-44.15,8,2,1,0,0,1,1,0,0,2,0,0,0,0,0.6667,2.3333,0.5,1.0,14,14,5,5,-1,5,A
AyWZW7Al,2002-2003,2002-09-22 20:30:00+00:00,Carabobo,Miranda,0,4,1,2,2,1,0.6667,1.0,1.6667,1.6667,0.6,0.8,1.6,1.4,4,8,1481.9,1501.8,-19.89,7,6,0,1,0,1,1,0,0,1,0,0,0,0,0.0,1.5,0.3333,1.6667,7,7,6,6,-2,0,D
I1VwWRPf,2002-2003,2002-09-22 20:30:00+00:00,Caracas,Nacional Tachira,3,1,1,2,1,2,1.8333,0.8333,1.0,1.0,1.4,0.8,0.8,1.0,10,7,1542.96,1511.1,31.87,1,4,2,0,0,3,0,1,0,1,0,0,0,0,0.6667,2.3333,0.3333,0.6667,7,7,6,6,6,0,H
dhUsVou1,2002-2003,2002-09-22 20:30:00+00:00,Dep. Táchira,Trujillanos,2,3,0,1,0,4,1.3333,0.8333,1.6667,2.0,1.4,0.8,1.6,2.2,9,3,1529.59,1461.71,67.88,2,9,0,1,0,6,0,0,1,0,0,0,0,0,0.6667,1.3333,0.0,1.0,7,7,6,6,3,-2,H
hKNjTP9D,2002-2003,2002-09-22 20:30:00+00:00,Mineros,U. A. Maracaibo,2,2,1,1,3,1,1.1667,1.3333,0.8333,1.3333,1.2,0.8,0.8,1.2,8,6,1510.98,1477.32,33.67,4,8,2,0,0,2,0,1,0,1,0,0,0,0,0.5,1.5,0.0,1.0,7,7,6,6,-1,-3,D
vHJnU5f7,2002-2003,2002-09-22 20:30:00+00:00,Estudiantes M.,Monagas,2,2,1,1,0,4,1.3333,1.3333,1.1667,1.3333,1.4,1.4,0.8,1.2,8,3,1522.36,1460.28,62.07,3,9,0,0,1,0,0,0,2,0,0,0,0,0,0.5,1.0,0.0,0.0,7,7,6,6,0,-1,H
8rSjwAXK,2002-2003,2002-09-29 20:30:00+00:00,Dep. Táchira,Caracas,3,2,0,3,1,1,1.4286,0.8571,1.7143,0.7143,1.4,0.6,1.2,0.8,11,10,1538.41,1553.17,-14.75,2,1,1,0,0,7,3,0,0,4,0,0,0,0,0.75,1.5,0.6667,1.3333,7,7,7,7,4,7,D
ELSnvjIE,2002-2003,2002-09-29 20:30:00+00:00,Miranda,Nacional Tachira,2,2,1,1,1,3,1.4286,1.4286,0.8571,1.0,1.4,1.2,0.4,1.0,8,4,1505.42,1500.89,4.53,4,6,0,1,0,2,0,0,1,0,0,0,0,0,0.3333,1.6667,0.25,0.5,7,7,7,7,0,-1,D
MoWfxUnR,2002-2003,2002-09-29 20:30:00+00:00,Trujillanos,Mineros,1,0,4,2,2,1,1.5714,2.0,1.1429,1.2857,1.6,2.2,1.2,0.8,3,8,1452.89,1505.11,-52.22,9,5,0,0,2,0,0,1,0,3,0,0,0,0,0.5,2.0,0.25,1.0,7,7,7,7,-3,-1,D
SS8NXmer,2002-2003,2002-09-29 20:30:00+00:00,U. A. Maracaibo,Estudiantes M.,1,3,1,3,1,1,0.8571,1.2857,1.4286,1.2857,0.8,1.2,1.6,1.4,6,10,1483.18,1531.39,-48.21,7,3,0,2,0,2,1,0,0,1,0,0,0,0,0.25,0.75,0.25,1.5,7,7,7,7,-3,1,H
zVTruW28,2002-2003,2002-10-01 20:30:00+00:00,Monagas,Carabobo,1,0,4,0,4,1,1.1429,1.4286,0.5714,0.8571,1.0,1.2,0.2,0.4,3,4,1451.25,1478.28,-27.03,9,8,0,0,3,0,0,2,0,2,0,0,0,0,0.5,1.75,0.0,0.25,9,9,7,7,-2,-2,H
2HXCOPzI,2002-2003,2002-10-06 20:30:00+00:00,Estudiantes M.,Trujillanos,2,1,2,1,1,3,1.25,1.375,1.5,1.875,1.0,1.4,1.6,2.0,7,4,1517.76,1450.7,67.06,3,10,0,0,1,0,0,1,0,1,0,0,0,0,0.6667,1.3333,0.0,1.0,7,7,8,8,-1,-3,H
OWLLM35U,2002-2003,2002-10-06 20:30:00+00:00,Nacional Tachira,Monagas,1,2,2,2,0,3,0.75,0.875,1.25,1.375,0.4,0.6,1.4,1.2,5,6,1505.57,1463.94,41.63,5,9,0,1,0,1,1,0,0,1,0,0,0,0,0.6667,1.3333,0.0,0.3333,7,5,8,8,-1,-1,A
dKU4Qo65,2002-2003,2002-10-06 20:30:00+00:00,Carabobo,U. A. Maracaibo,0,3,2,1,3,1,0.625,1.0,1.0,1.125,0.4,0.8,1.0,1.2,3,6,1465.59,1496.82,-31.23,9,6,0,0,1,0,1,0,0,3,0,0,0,0,0.0,1.0,0.0,1.0,5,7,8,8,-3,-1,H
jsU8P5LB,2002-2003,2002-10-06 20:30:00+00:00,Caracas,Miranda,3,2,0,1,3,1,1.75,0.875,1.25,1.25,1.2,0.6,1.0,1.0,11,6,1557.01,1500.75,56.27,1,5,0,1,0,5,0,2,0,3,0,0,0,0,0.75,2.0,0.25,1.25,7,7,8,8,7,0,D
ptNHNqjO,2002-2003,2002-10-06 20:30:00+00:00,Mineros,Dep. Táchira,2,2,1,2,3,0,1.125,1.25,1.5,1.0,1.4,1.0,1.4,1.0,8,9,1507.3,1534.56,-27.26,5,2,0,2,0,4,0,1,0,8,0,0,0,0,0.3333,1.3333,0.0,1.3333,7,7,8,8,-1,4,H
EB7hRRja,2002-2003,2002-10-11 20:30:00+00:00,Estudiantes M.,Dep. Táchira,3,0,2,2,2,1,1.3333,1.3333,1.3333,1.1111,1.2,1.4,1.2,1.2,9,8,1526.61,1521.86,4.75,2,3,1,0,0,1,0,0,1,0,0,0,1,1,0.75,1.5,0.0,1.0,5,5,9,9,0,2,A
IqEqTmMn,2002-2003,2002-10-12 20:30:00+00:00,Mineros,Caracas,3,2,0,3,2,0,1.2222,1.1111,1.7778,1.0,1.6,0.6,1.6,1.0,11,11,1520.0,1550.27,-30.27,3,1,1,0,0,5,0,2,0,6,0,1,0,1,0.5,1.5,0.5,1.5,6,6,9,9,1,7,A
OMEuUT6t,2002-2003,2002-10-12 20:30:00+00:00,Miranda,Monagas,1,3,1,2,0,3,1.3333,1.3333,1.4444,1.3333,1.2,1.2,1.2,1.2,6,6,1507.49,1486.12,21.37,3,6,0,3,0,4,2,0,0,2,0,1,0,1,0.25,1.25,0.25,1.0,6,6,9,9,0,1,H
dzDmS7yg,2002-2003,2002-10-12 20:30:00+00:00,Nacional Tachira,U. A. Maracaibo,0,2,3,1,2,2,0.7778,1.1111,1.0,1.3333,0.2,1.0,1.2,1.8,2,5,1483.38,1483.94,-0.56,7,6,0,0,1,0,0,0,1,0,1,0,0,1,0.5,1.25,0.0,1.0,6,6,9,9,-3,-3,A
n1NDY9bP,2002-2003,2002-10-12 20:30:00+00:00,Carabobo,Trujillanos,1,2,2,1,1,3,0.8889,1.0,1.4444,1.8889,0.8,0.8,1.6,1.6,5,4,1478.46,1441.86,36.61,7,10,1,0,0,1,0,0,1,0,0,1,0,1,0.25,1.5,0.0,1.0,6,6,9,9,-1,-4,H
tvLM9QLO,2002-2003,2002-10-25 20:30:00+00:00,Mineros,Estudiantes M.,2,2,1,2,0,3,1.1,1.1,1.3,1.4,1.0,0.6,1.2,1.8,8,6,1500.83,1505.93,-5.1,6,4,0,0,1,0,0,0,1,0,0,0,1,1,0.4,1.2,0.2,1.2,13,14,10,10,0,-1,A
2mMIA66I,2002-2003,2002-10-27 21:30:00+00:00,U. A. Maracaibo,Miranda,2,2,1,2,3,0,1.1,1.2,1.6,1.3,1.4,1.0,1.8,0.8,8,9,1504.4,1518.12,-13.72,5,4,1,0,0,1,1,0,0,5,0,0,1,1,0.4,1.0,0.2,1.4,15,15,10,10,-1,3,D
GWNACSy6,2002-2003,2002-10-27 21:30:00+00:00,Dep. Táchira,Carabobo,2,2,1,2,2,1,1.4,1.1,1.0,1.0,1.4,1.4,1.2,0.8,8,8,1542.55,1488.48,54.07,2,6,1,0,0,1,2,0,0,2,0,0,1,1,0.6,1.6,0.0,0.4,16,15,10,10,3,0,A
Y7Y5D8Ma,2002-2003,2002-10-27 21:30:00+00:00,Caracas,Monagas,3,2,0,2,0,3,1.7,0.9,1.4,1.6,1.6,1.0,1.4,1.8,11,6,1569.44,1475.49,93.94,1,8,1,0,0,7,0,0,1,0,1,0,0,1,0.6,2.0,0.2,1.0,15,15,10,10,8,-2,H
fNMEBniC,2002-2003,2002-10-27 21:30:00+00:00,Trujillanos,Nacional Tachira,0,1,4,0,2,3,1.4,1.9,0.7,1.2,1.0,1.8,0.2,1.2,1,2,1431.84,1462.93,-31.08,10,9,0,0,2,0,0,0,2,0,0,1,0,1,0.4,1.8,0.2,0.4,15,15,10,10,-5,-5,A
Gn6gEl7g,2002-2003,2002-11-03 21:30:00+00:00,Nacional Tachira,Dep. Táchira,1,1,3,2,1,2,0.9091,1.2727,1.3636,1.1818,0.8,1.6,1.4,1.6,4,7,1482.06,1519.88,-37.83,7,4,1,0,0,1,0,0,1,0,0,1,0,1,0.4,1.0,0.2,1.2,7,7,11,11,-4,2,A
MP6kFUim,2002-2003,2002-11-03 21:30:00+00:00,Monagas,U. A. Maracaibo,2,0,3,2,2,1,1.3636,1.7273,1.1818,1.2727,1.6,2.2,1.6,1.2,6,8,1467.6,1500.51,-32.91,8,6,0,0,2,0,0,1,0,2,0,1,0,1,0.6,1.8,0.2,1.2,7,7,11,11,-4,-1,H
SOlHXx8E,2002-2003,2002-11-03 21:30:00+00:00,Miranda,Trujillanos,1,4,0,0,1,4,1.6364,1.3636,1.4545,2.0,1.6,1.0,1.2,2.0,7,1,1522.02,1412.71,109.31,4,10,0,1,0,6,0,0,3,0,1,0,0,1,0.4,1.8,0.0,1.0,7,7,11,11,3,-6,H
lYkDYIh8,2002-2003,2002-11-03 21:30:00+00:00,Carabobo,Mineros,3,1,1,1,2,2,1.0909,1.0,1.1818,1.2727,1.6,1.0,1.2,1.2,10,5,1511.14,1480.56,30.58,5,7,3,0,0,3,0,0,2,0,0,0,1,1,0.4,1.6,0.2,1.0,7,9,11,11,1,-1,H
rZ7oGAxs,2002-2003,2002-11-03 21:30:00+00:00,Estudiantes M.,Caracas,3,0,2,3,2,0,1.4545,1.4545,1.8182,0.9091,1.6,1.6,1.8,1.0,9,11,1526.19,1577.33,-51.14,4,1,1,0,0,1,2,0,0,8,1,0,0,1,0.6,1.4,0.6,1.4,9,7,11,11,0,10,D
CCWACyWl,2002-2003,2002-11-10 21:30:00+00:00,Caracas,U. A. Maracaibo,2,3,0,2,1,2,1.8333,1.0,1.0833,1.25,2.0,1.4,1.4,1.2,9,7,1579.56,1487.56,92.01,1,6,0,1,0,9,0,0,1,0,0,0,1,1,0.6667,2.1667,0.1667,1.0,7,7,12,12,10,-2,H
WCwN9ZF7,2002-2003,2002-11-10 21:30:00+00:00,Mineros,Nacional Tachira,1,1,3,1,1,3,1.1667,1.3333,0.9167,1.3333,1.2,1.4,1.0,1.8,4,4,1470.31,1463.23,7.08,8,9,0,0,3,0,0,0,1,0,0,1,0,1,0.3333,1.3333,0.3333,0.8333,7,7,12,12,-2,-5,A
YRKJAF01,2002-2003,2002-11-10 21:30:00+00:00,Trujillanos,Monagas,0,1,4,3,0,2,1.3333,2.0,1.3333,1.5833,1.0,2.0,1.6,1.8,1,9,1405.33,1480.55,-75.22,10,7,0,0,4,0,1,0,0,1,0,1,0,1,0.3333,1.8333,0.1667,1.0,7,7,12,12,-8,-3,A
j3VEBeoe,2002-2003,2002-11-10 21:30:00+00:00,Dep. Táchira,Miranda,2,1,2,2,3,0,1.4167,1.1667,1.6667,1.25,1.4,1.6,2.0,1.0,7,9,1538.72,1529.39,9.32,2,3,1,0,0,1,1,0,0,7,0,0,1,1,0.5,1.5,0.1667,1.5,7,7,12,12,3,5,A
fmSRIwgL,2002-2003,2002-11-17 21:30:00+00:00,Miranda,Mineros,3,2,0,1,0,4,1.6154,1.1538,1.1538,1.3846,2.2,1.0,1.2,1.6,11,3,1550.27,1449.53,100.74,2,9,2,0,0,8,0,0,4,0,0,1,0,1,0.5,1.8333,0.1667,1.0,7,7,13,13,6,-3,H
rwS6DHGr,2002-2003,2002-11-17 21:30:00+00:00,U. A. Maracaibo,Trujillanos,1,1,3,0,0,5,1.0,1.5385,1.3077,2.0769,1.0,2.2,1.0,2.4,4,0,1479.6,1388.19,91.41,8,10,0,0,2,0,0,0,5,0,0,1,0,1,0.3333,1.1667,0.0,0.8333,7,7,13,13,-7,-10,D
tpONJJwF,2002-2003,2002-11-17 21:30:00+00:00,Carabobo,Caracas,4,0,1,3,2,0,1.1667,1.0,2.0769,0.9231,2.0,1.2,2.6,1.0,12,11,1521.4,1587.52,-66.13,4,1,4,0,0,4,1,0,0,10,0,1,0,1,0.5,1.6667,0.5,1.5,14,7,12,13,2,15,H
xCHWHc8R,2002-2003,2002-11-17 21:30:00+00:00,Monagas,Dep. Táchira,3,0,2,2,0,3,1.4615,1.5385,1.3077,1.1538,1.8,1.8,1.0,1.4,9,6,1497.69,1517.84,-20.15,6,5,2,0,0,2,0,0,1,0,0,1,0,1,0.6667,1.6667,0.3333,1.3333,7,7,13,13,-1,2,H
nNOJKaO8,2002-2003,2002-11-20 21:30:00+00:00,Estudiantes M.,Carabobo,2,1,2,5,0,0,1.5,1.5,1.2308,1.0,1.6,1.8,2.2,1.0,7,15,1523.96,1535.84,-11.89,4,3,0,1,0,2,5,0,0,5,0,0,1,1,0.5,1.5,0.1667,0.6667,17,3,12,13,0,3,A
08TuaxHe,2002-2003,2002-11-24 21:30:00+00:00,Dep. Táchira,U. A. Maracaibo,2,0,3,1,2,2,1.2143,1.2143,1.0,1.5,1.0,1.4,1.0,1.8,6,5,1505.46,1471.58,33.88,5,8,0,0,2,0,0,1,0,1,0,0,1,1,0.4286,1.2857,0.1429,0.8571,7,7,14,14,0,-7,A
6oUy0I1k,2002-2003,2002-11-24 21:30:00+00:00,Caracas,Trujillanos,3,1,1,0,1,4,2.0,1.0,1.2857,2.0,2.4,1.0,1.0,2.2,10,1,1573.08,1396.21,176.87,1,10,0,0,1,0,0,1,0,1,1,0,0,1,0.7143,2.5714,0.0,0.8571,7,7,14,14,14,-10,H
8WPFLu92,2002-2003,2002-11-24 21:30:00+00:00,Mineros,Monagas,0,0,5,3,0,2,1.0714,1.5,1.5,1.4286,0.8,2.2,1.6,1.6,0,9,1441.86,1510.07,-68.21,9,4,0,0,5,0,3,0,0,3,1,0,0,1,0.2857,1.2857,0.2857,1.2857,7,7,14,14,-6,1,D
hrQX0bnq,2002-2003,2002-11-24 21:30:00+00:00,Carabobo,Nacional Tachira,5,0,0,2,0,3,1.2143,0.9286,1.0,1.3077,1.8,0.8,1.4,2.0,15,6,1555.81,1484.01,71.81,3,7,6,0,0,6,1,0,0,1,0,0,1,1,0.5714,1.7143,0.4286,1.0,4,14,14,13,4,-4,H
vaSqbdW1,2002-2003,2002-11-24 21:30:00+00:00,Estudiantes M.,Miranda,2,1,2,4,1,0,1.3846,1.4615,1.7143,1.0714,1.6,1.6,2.4,0.6,7,13,1503.98,1557.93,-53.95,5,3,0,0,1,0,3,0,0,9,0,1,0,1,0.4286,1.2857,0.2857,1.4286,4,7,13,14,-1,9,D
4hQh6KOL,2002-2003,2002-12-01 21:30:00+00:00,Nacional Tachira,Caracas,2,0,3,3,1,1,0.9286,1.3571,1.9333,0.9333,1.2,1.8,2.4,1.0,6,10,1475.33,1578.48,-103.15,8,1,0,0,1,0,1,0,0,1,0,1,0,1,0.3333,1.0,0.4286,1.4286,7,7,14,15,-6,15,H
E3Xu9Mv3,2002-2003,2002-12-01 21:30:00+00:00,Miranda,Carabobo,3,2,0,5,0,0,1.6,1.0,1.2667,0.8667,1.6,0.4,1.8,0.6,11,15,1560.04,1564.49,-4.45,3,1,0,1,0,10,7,0,0,7,0,0,1,1,0.5714,2.0,0.2857,0.7143,7,7,15,15,9,6,H
dSMp8tf9,2002-2003,2002-12-01 21:30:00+00:00,Trujillanos,Dep. Táchira,0,1,4,1,0,4,1.2,1.9333,1.2667,1.3333,0.8,2.0,1.0,1.8,1,3,1390.81,1483.58,-92.77,10,8,0,0,1,0,0,0,3,0,0,1,0,1,0.2857,1.7143,0.2857,1.1429,7,7,15,15,-11,-1,H
